 , raw code cost, mean, min, max, NORM code cost, mean NORM, min NORM, max NORM
SeqPredNN,5.4167536944897465,0.07319937424986143,0.010869515995542978,0.17459684497680786,2817.1286611212954,38.069306231368856,0.0,100.0
Koonin,23.04596491228069,0.3114319582740635,0.0,2.2815789473684207,1010.088427527874,13.649843615241538,0.0,100.0
Higgs,349.5438596491228,4.723565670934092,0.0,14.82456140350877,2357.8698224852074,31.863105709259557,0.0,100.0
Neutral,5.85964912280701,0.07918444760550024,0.017543859649122806,0.17543859649122806,2888.888888888887,39.03903903903904,0.0,100.0
Amino acid,68.89070174993608,0.9309554290531906,0.12391248234918995,0.9996052291948194,6819.878121775049,92.16051515912228,0.0,100.0
