 , raw code cost, mean, min, max, NORM code cost, mean NORM, min NORM, max NORM
SeqPredNN,58.20157058109551,0.01564137881781665,0.0,0.42449615774974625,13710.741432766392,3.6846926720683606,0.0,100.0
Koonin,321.3487598203036,0.08636085993558267,0.0,8.41,3821.031626876359,1.026882995666857,0.0,100.0
Higgs,4924.8116028339755,1.323518302293465,0.0,47.1,10456.075589881053,2.810017626950031,0.0,100.0
Neutral,60.999999999999915,0.01639344262295082,0.0,0.5,12200.00000000005,3.278688524590164,0.0,100.0
Amino acid,3528.4836738818644,0.9482622074393677,0.12391248234918995,0.9996052291948194,350283.2857882882,94.13686798932656,0.0,100.0
