 , raw code cost, mean, min, max, NORM code cost, mean NORM, min NORM, max NORM
SeqPredNN,2.875853939648868,0.014672724181881975,0.0,0.2901503125581599,991.1600350499053,5.0569389543362515,0.0,100.0
Koonin,11.057741591433778,0.05641704893588664,0.0,2.6999999999999997,409.5459848679179,2.0895203309587647,0.0,100.0
Higgs,273.3719914377894,1.3947550583560684,0.0,49.5,552.2666493692714,2.817686986577916,0.0,100.0
Neutral,3.0483775540312035,0.015552946704240837,0.0,0.3,1016.1258513437348,5.1843155680802795,0.0,100.0
Amino acid,181.93266523280897,0.9282278838408624,0.12391248234918995,0.9996052291948194,18002.4122913237,91.84904230267198,0.0,100.0
